cell_set_accession	cell_label	Add_to_CL
CS20230722_SUBC_165	165 PAG-MRN Pou3f1 Glut	
CS20230722_SUBC_166	166 MRN Pou3f1 C1ql4 Glut	
CS20230722_SUBC_167	167 PRC-PAG Tcf7l2 Irx2 Glut	
CS20230722_SUBC_168	168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut	
CS20230722_SUBC_169	169 PAG-SC Pou4f1 Zic1 Glut	
CS20230722_SUBC_170	170 PAG-MRN Tfap2b Glut	
CS20230722_SUBC_171	171 PAG Pou4f1 Bnc2 Glut	
CS20230722_SUBC_172	172 PAG Pou4f1 Ebf2 Glut	
CS20230722_SUBC_173	173 PAG Pou4f2 Glut	
CS20230722_SUBC_174	174 PAG Pou4f2 Mesi2 Glut	
CS20230722_SUBC_175	175 SC Bnc2 Glut	
CS20230722_SUBC_176	176 SCig Foxb1 Glut	
CS20230722_SUBC_177	177 SCig-an-PPT Foxb1 Glut	
CS20230722_SUBC_178	178 SCig Foxb1 Otx2 Glut	
CS20230722_SUBC_179	179 SCdg-PAG Tfap2b Glut	
CS20230722_SUBC_180	180 SCiw Pitx2 Glut	
CS20230722_SUBC_181	181 IC Tfap2d Maf Glut	
CS20230722_SUBC_182	182 CUN-PPN Evx2 Meis2 Glut	
CS20230722_SUBC_183	183 PBG Mtnr1a Glut-Chol	
CS20230722_SUBC_184	184 PAG Tcf24 Glut	
CS20230722_SUBC_185	185 SCig Tfap2b Chrnb3 Glut	
CS20230722_SUBC_186	186 SCop Pou4f2 Neurod2 Glut	
CS20230722_SUBC_187	187 SCsg Pde5a Glut	
CS20230722_SUBC_188	188 SCop Sln Glut	
CS20230722_SUBC_189	189 PAG Ucn Glut	
CS20230722_SUBC_190	190 ND-INC Foxd2 Glut	
CS20230722_SUBC_191	191 PAG-MRN Rln3 Gaba	
CS20230722_SUBC_192	192 PPN-CUN-PCG Otp En1 Gaba	
CS20230722_SUBC_193	193 MRN-PPN-CUN Pax8 Gaba	
CS20230722_SUBC_194	194 MRN-VTN-PPN Pax5 Cdh23 Gaba	
CS20230722_SUBC_195	195 SNr-VTA Pax5 Npas1 Gaba	
CS20230722_SUBC_196	196 PAG-PPN Pax5 Sox21 Gaba	
CS20230722_SUBC_197	197 SNr Six3 Gaba	
CS20230722_SUBC_198	198 IC Six3 En2 Gaba	
CS20230722_SUBC_199	199 PAG-MRN-RN Foxa2 Gaba	
CS20230722_SUBC_200	200 PAG-ND-PCG Onecut1 Gaba	
CS20230722_SUBC_201	201 PAG-RN Nkx2-2 Otx1 Gaba	
CS20230722_SUBC_202	202 PRT Tcf7l2 Gaba	
CS20230722_SUBC_203	203 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba	
CS20230722_SUBC_204	204 SC Otx2 Gcnt4 Gaba	
CS20230722_SUBC_205	205 SC-PAG Lef1 Emx2 Gaba	
CS20230722_SUBC_206	206 SCm-PAG Cdh23 Gaba	
CS20230722_SUBC_207	207 SCs Dmbx1 Gaba	
CS20230722_SUBC_208	208 SC Lef1 Otx2 Gaba	
CS20230722_SUBC_209	209 SCs Pax7 Nfia Gaba	
CS20230722_SUBC_210	210 PRT Mecom Gaba	
CS20230722_SUBC_211	211 SC Tnnt1 Gli3 Gaba	
CS20230722_SUBC_212	212 SCs Lef1 Gli3 Gaba	
CS20230722_SUBC_213	213 SCsg Gabrr2 Gaba	
CS20230722_SUBC_214	214 IPN Otp Crisp1 Gaba	
CS20230722_SUBC_215	215 SNc-VTA-RAmb Foxa1 Dopa	
CS20230722_SUBC_216	216 MB-MY Tph2 Glut-Sero	
CS20230722_SUBC_217	217 PB Lmx1a Glut	
CS20230722_SUBC_218	218 PSV Lmx1a Trpv6 Glut	
CS20230722_SUBC_219	219 PB-SUT Tlx3 Lhx2 Glut	
CS20230722_SUBC_220	220 PB Pax5 Glut	
CS20230722_SUBC_221	221 LDT-PCG Vsx2 Lhx4 Glut	
CS20230722_SUBC_222	222 PB Evx2 Glut	
CS20230722_SUBC_223	223 B-PB Nr4a2 Glut	
CS20230722_SUBC_224	224 PCG-PRNr Vsx2 Nkx6-1 Glut	
CS20230722_SUBC_225	225 PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut	
CS20230722_SUBC_226	226 PRNc-PARN Tlx1 Glut	
CS20230722_SUBC_227	227 PB-PSV Phox2b Glut	
CS20230722_SUBC_228	228 PSV Pvalb Lhx2 Glut	
CS20230722_SUBC_229	229 PB-NTS Phox2b Ebf3 Lmx1b Glut	
CS20230722_SUBC_230	230 PRNr Otp Nfib Glut	
CS20230722_SUBC_231	231 IPN-LDT Vsx2 Nkx6-1 Glut	
CS20230722_SUBC_232	232 LDT Vsx2 Nkx6-1 Nfib Glut	
CS20230722_SUBC_233	233 NLL-SOC Spp1 Glut	
CS20230722_SUBC_234	234 MEV Ppp1r1c Glut	
CS20230722_SUBC_235	235 PG-TRN-LRN Fat2 Glut	
CS20230722_SUBC_236	236 IRN Vip Glut	
CS20230722_SUBC_237	237 PRP-NI-PRNc-GRN Otp Glut	
CS20230722_SUBC_238	238 NTS Phox2b Glut	
CS20230722_SUBC_239	239 MARN-GRN Pyy Glut	
CS20230722_SUBC_240	240 MDRNv Lhx4 Qrfprl Glut	
CS20230722_SUBC_241	241 NTS Mbnl3 Glut	
CS20230722_SUBC_242	242 PGRNd Dmbx1 Glut	
CS20230722_SUBC_243	243 PGRN-PARN-MDRN Hoxb5 Glut	
CS20230722_SUBC_244	244 MV-SPIV Slc6a2 Glut	
CS20230722_SUBC_245	245 SPVI-SPVC Tlx3 Ebf3 Glut	
CS20230722_SUBC_246	246 CU-ECU-SPVI Foxb1 Glut	
CS20230722_SUBC_247	247 MV-SPIV Phox2b Ebf3 Lbx1 Glut	
CS20230722_SUBC_248	248 MV-SPIV Zic4 Neurod2 Glut	
CS20230722_SUBC_249	249 NTS Aldh1a2 Glut	
CS20230722_SUBC_250	250 CBN Neurod2 Pvalb Glut	
CS20230722_SUBC_251	251 NTS Dbh Glut	
CS20230722_SUBC_252	252 DMX VII Tbx20 Chol	
CS20230722_SUBC_253	253 IO Fgl2 Glut	
CS20230722_SUBC_254	254 VCO Mafa Meis2 Glut	
CS20230722_SUBC_255	255 SPVO Mafa Meis2 Glut	
CS20230722_SUBC_256	256 SPVC Mafa Glut	
CS20230722_SUBC_257	257 SPVC Ccdc172 Glut	
CS20230722_SUBC_258	258 SPVC Nmu Glut	
CS20230722_SUBC_259	259 MDRNd Bves Glut	
CS20230722_SUBC_260	260 MDRNv Crp Glut	
CS20230722_SUBC_261	261 HB Calcb Chol	
CS20230722_SUBC_262	262 Pineal Crx Glut	
CS20230722_SUBC_263	263 CS-RPO Meis2 Gaba	
CS20230722_SUBC_264	264 PRNc Otp Gly-Gaba	
CS20230722_SUBC_265	265 PB Sst Gly-Gaba	
CS20230722_SUBC_266	266 PRNc Prox1 Brs3 Gly-Gaba	
CS20230722_SUBC_267	267 CS-PRNr-PCG Tmem163 Otp Gaba	
CS20230722_SUBC_268	268 CS-PRNr-DR En1 Sox2 Gaba	
CS20230722_SUBC_269	269 LDT Fgf7 Gaba	
CS20230722_SUBC_270	270 LDT-DTN Gata3 Nfix Gaba	
CS20230722_SUBC_271	271 NI-RPO Gata3 Nr4a2 Gaba	
CS20230722_SUBC_272	272 LDT-PCG-CS Gata3 Lhx1 Gaba	
CS20230722_SUBC_273	273 PDTg-PCG Pax6 Gaba	
CS20230722_SUBC_274	274 PDTg Otp Shroom3 Gaba	
CS20230722_SUBC_275	275 PDTg Otp Olig3 Gaba	
CS20230722_SUBC_276	276 LDT-PCG St18 Gaba	
CS20230722_SUBC_277	277 DTN-LDT-IPN Otp Pax3 Gaba	
CS20230722_SUBC_278	278 NLL Gata3 Gly-Gaba	
CS20230722_SUBC_279	279 PSV Pax2 Gly-Gaba	
CS20230722_SUBC_280	280 NLL-po Pax7 Gaba	
CS20230722_SUBC_281	281 POR Gata3 Gly-Gaba	
CS20230722_SUBC_282	282 POR Spp1 Gly-Gaba	
CS20230722_SUBC_283	283 PRP Otp Gly-Gaba	
CS20230722_SUBC_284	284 GRN-IRN-MDRNd Ikzf1 Gly-Gaba	
CS20230722_SUBC_285	285 MY Lhx1 Gly-Gaba	
CS20230722_SUBC_286	286 PPY-PGRNl Vip Glyc-Gaba	
CS20230722_SUBC_287	287 MV-SPIV-PRP Dmbx1 Gly-Gaba	
CS20230722_SUBC_288	288 MDRN Hoxb5 Ebf2 Gly-Gaba	
CS20230722_SUBC_289	289 MDRNd Prox1 Pax6 Gly-Gaba	
CS20230722_SUBC_290	290 MY Prox1 Lmo7 Gly-Gaba	
CS20230722_SUBC_291	291 NTS-MDRNd Prox1 Zic1 Gly-Gaba	
CS20230722_SUBC_292	292 MV Nkx6-1 Gly-Gaba	
CS20230722_SUBC_293	293 PAS-MV Ebf2 Gly-Gaba	
CS20230722_SUBC_294	294 MV Pax6 Gly-Gaba	
CS20230722_SUBC_295	295 CBN Dmbx1 Gaba	
CS20230722_SUBC_296	296 RPA Pax6 Hoxb5 Gly-Gaba	
CS20230722_SUBC_297	297 CU-ECU Pax2 Gly-Gaba	
CS20230722_SUBC_298	298 PRP Gata3 Slc6a5 Gly-Gaba	
CS20230722_SUBC_299	299 MARN-PPY Ngfr Gly-Gaba	
CS20230722_SUBC_300	300 PARN-MDRNd-NTS Gbx2 Gly-Gaba	
CS20230722_SUBC_301	301 MV Nr4a2 Gly-Gaba	
CS20230722_SUBC_302	302 MV Xdh Gly-Gaba	
CS20230722_SUBC_303	303 IRN Dmbx1 Pax2 Gly-Gaba	
CS20230722_SUBC_304	304 NTS-PARN Neurod2 Gly-Gaba	
CS20230722_SUBC_305	305 SPVI-SPVC Sall3 Nfib Gly-Gaba	
