software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,markers,onTarget
4.1,subclass,027 L6b EPd Glut,350,0.47619047619047616,0.5,0.4,249222,140,210,140,2,"['ENSMUSG00000038331', 'ENSMUSG00000030669']",0.023836014792323112
4.1,subclass,028 L6b/CT ENT Glut,700,0.18023255813953487,0.775,0.04428571428571428,249003,9,669,31,3,"['ENSMUSG00000039714', 'ENSMUSG00000046719', 'ENSMUSG00000022206']",0.04800303280353546
4.1,subclass,029 L6b CTX Glut,600,0.6973684210526317,0.9217391304347826,0.35333333333333333,249094,18,388,212,2,"['ENSMUSG00000039714', 'ENSMUSG00000023959']",0.23136281967163086
4.1,subclass,030 L6 CT CTX Glut,1100,0.4147331786542924,0.9166666666666666,0.13,248599,13,957,143,3,"['ENSMUSG00000075334', 'ENSMUSG00000035033', 'ENSMUSG00000027849']",0.03264974057674408
4.1,subclass,031 CT SUB Glut,150,0.3378378378378379,0.8333333333333334,0.1,249559,3,135,15,3,"['ENSMUSG00000033491', 'ENSMUSG00000022237', 'ENSMUSG00000060429']",0.03273195028305054
4.1,subclass,032 L5 NP CTX Glut,800,0.6453154875717018,0.8359133126934984,0.3375,248859,53,530,270,3,"['ENSMUSG00000038331', 'ENSMUSG00000046178', 'ENSMUSG00000021743']",0.03895644098520279
4.1,subclass,033 NP SUB Glut,300,0.38377192982456143,0.8974358974358975,0.11666666666666667,249408,4,265,35,2,"['ENSMUSG00000019866', 'ENSMUSG00000046719']",0.026142410933971405
4.1,subclass,034 NP PPP Glut,150,0.26536312849162014,0.36538461538461536,0.12666666666666668,249529,33,131,19,2,"['ENSMUSG00000064294', 'ENSMUSG00000034009']",0.05217251181602478
4.1,subclass,035 OB Eomes Ms4a15 Glut,550,0.8613916947250282,0.9967532467532467,0.5581818181818182,249161,1,243,307,2,"['ENSMUSG00000032446', 'ENSMUSG00000032532']",0.195342555642128
4.1,subclass,036 HPF CR Glut,250,0.693950177935943,1.0,0.312,249462,0,172,78,2,"['ENSMUSG00000029026', 'ENSMUSG00000049001']",0.20690710842609406
