supertype_id	supertype_label	supertype_id_label	subclass_id	subclass_label	subclass_id_label	class_id	class_label	class_id_label	division_id	division_label	division_id_label	neighborhood	nt_type_label	cell_set_accession.supertype
81	L2 IT PPP-APr Glut_3	0081 L2 IT PPP-APr Glut_3	18	L2 IT PPP-APr Glut	018 L2 IT PPP-APr Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:11,IT-ET:11	Glut	CS202212150_5272
82	L2 IT PPP-APr Glut_4	0082 L2 IT PPP-APr Glut_4	18	L2 IT PPP-APr Glut	018 L2 IT PPP-APr Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:11,IT-ET:11	Glut	CS202212150_329
83	L2/3 IT PPP Glut_1	0083 L2/3 IT PPP Glut_1	19	L2/3 IT PPP Glut	019 L2/3 IT PPP Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:13,IT-ET:13	Glut	CS202212150_5273
84	L2/3 IT PPP Glut_2	0084 L2/3 IT PPP Glut_2	19	L2/3 IT PPP Glut	019 L2/3 IT PPP Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:13,IT-ET:13	Glut	CS202212150_5274
85	L2/3 IT PPP Glut_3	0085 L2/3 IT PPP Glut_3	19	L2/3 IT PPP Glut	019 L2/3 IT PPP Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:13,IT-ET:13	Glut	CS202212150_5275
86	L2/3 IT RSP Glut_1	0086 L2/3 IT RSP Glut_1	20	L2/3 IT RSP Glut	020 L2/3 IT RSP Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:5,IT-ET:5	Glut	CS202212150_343
87	L2/3 IT RSP Glut_2	0087 L2/3 IT RSP Glut_2	20	L2/3 IT RSP Glut	020 L2/3 IT RSP Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:5,IT-ET:5	Glut	CS202212150_5276
88	L4 RSP-ACA Glut	0088 L4 RSP-ACA Glut	21	L4 RSP-ACA Glut	021 L4 RSP-ACA Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:2,IT-ET:2	Glut	CS202212150_5277
89	L5 ET CTX Glut_1	0089 L5 ET CTX Glut_1	22	L5 ET CTX Glut	022 L5 ET CTX Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:34,IT-ET:34	Glut	CS202212150_5278
90	L5 ET CTX Glut_2	0090 L5 ET CTX Glut_2	22	L5 ET CTX Glut	022 L5 ET CTX Glut	1	IT-ET Glut	01 IT-ET Glut	1	Pallium glutamatergic	1 Pallium glutamatergic	Pallium_Glut:34,IT-ET:34	Glut	CS202212150_5279
