defined_class	cell_set_accession	Taxonomy_label	Exclude_from_ontology	defined_class_name	defined_class_definition	Curated_synonyms	Classification	Classification_comment	Classification_pub	Expresses	Expresses_comment	Expresses_pub	Projection_type	Layers	Cross_species_text	Comment
http://purl.obolibrary.org/obo/PCL_0110229	CS20230722_SUBC_169	169 PAG-SC Pou4f1 Zic1 Glut														
http://purl.obolibrary.org/obo/PCL_0110230	CS20230722_SUBC_170	170 PAG-MRN Tfap2b Glut														
http://purl.obolibrary.org/obo/PCL_0110231	CS20230722_SUBC_171	171 PAG Pou4f1 Bnc2 Glut														
http://purl.obolibrary.org/obo/PCL_0110232	CS20230722_SUBC_172	172 PAG Pou4f1 Ebf2 Glut														
http://purl.obolibrary.org/obo/PCL_0110233	CS20230722_SUBC_173	173 PAG Pou4f2 Glut														
http://purl.obolibrary.org/obo/PCL_0110234	CS20230722_SUBC_174	174 PAG Pou4f2 Mesi2 Glut														
http://purl.obolibrary.org/obo/PCL_0110235	CS20230722_SUBC_175	175 SC Bnc2 Glut														
http://purl.obolibrary.org/obo/PCL_0110236	CS20230722_SUBC_176	176 SCig Foxb1 Glut														
http://purl.obolibrary.org/obo/PCL_0111334	CS20230722_SUPT_0764	177 SCig-an-PPT Foxb1 Glut														
http://purl.obolibrary.org/obo/PCL_0111335	CS20230722_SUPT_0765	178 SCig Foxb1 Otx2 Glut														
http://purl.obolibrary.org/obo/PCL_0111336	CS20230722_SUPT_0766	179 SCdg-PAG Tfap2b Glut														
http://purl.obolibrary.org/obo/PCL_0110240	CS20230722_SUBC_180	180 SCiw Pitx2 Glut														
http://purl.obolibrary.org/obo/PCL_0110241	CS20230722_SUBC_181	181 IC Tfap2d Maf Glut														
http://purl.obolibrary.org/obo/PCL_0110242	CS20230722_SUBC_182	182 CUN-PPN Evx2 Meis2 Glut														
http://purl.obolibrary.org/obo/PCL_0115732	CS20230722_CLUS_3352	183 PBG Mtnr1a Glut-Chol														
http://purl.obolibrary.org/obo/PCL_0115733	CS20230722_CLUS_3353	184 PAG Tcf24 Glut														
http://purl.obolibrary.org/obo/PCL_0111353	CS20230722_SUPT_0783	185 SCig Tfap2b Chrnb3 Glut														
http://purl.obolibrary.org/obo/PCL_0111354	CS20230722_SUPT_0784	186 SCop Pou4f2 Neurod2 Glut														
http://purl.obolibrary.org/obo/PCL_0110247	CS20230722_SUBC_187	187 SCsg Pde5a Glut														
http://purl.obolibrary.org/obo/PCL_0111358	CS20230722_SUPT_0788	188 SCop Sln Glut														
http://purl.obolibrary.org/obo/PCL_0115762	CS20230722_CLUS_3382	189 PAG Ucn Glut														
http://purl.obolibrary.org/obo/PCL_0111360	CS20230722_SUPT_0790	190 ND-INC Foxd2 Glut														
http://purl.obolibrary.org/obo/PCL_0111361	CS20230722_SUPT_0791	191 PAG-MRN Rln3 Gaba														
http://purl.obolibrary.org/obo/PCL_0110252	CS20230722_SUBC_192	192 PPN-CUN-PCG Otp En1 Gaba														
http://purl.obolibrary.org/obo/PCL_0110253	CS20230722_SUBC_193	193 MRN-PPN-CUN Pax8 Gaba														
http://purl.obolibrary.org/obo/PCL_0110254	CS20230722_SUBC_194	194 MRN-VTN-PPN Pax5 Cdh23 Gaba														
http://purl.obolibrary.org/obo/PCL_0110255	CS20230722_SUBC_195	195 SNr-VTA Pax5 Npas1 Gaba														
http://purl.obolibrary.org/obo/PCL_0110256	CS20230722_SUBC_196	196 PAG-PPN Pax5 Sox21 Gaba														
http://purl.obolibrary.org/obo/PCL_0111376	CS20230722_SUPT_0806	197 SNr Six3 Gaba														
http://purl.obolibrary.org/obo/PCL_0110258	CS20230722_SUBC_198	198 IC Six3 En2 Gaba														
http://purl.obolibrary.org/obo/PCL_0110259	CS20230722_SUBC_199	199 PAG-MRN-RN Foxa2 Gaba														
http://purl.obolibrary.org/obo/PCL_0110260	CS20230722_SUBC_200	200 PAG-ND-PCG Onecut1 Gaba														
http://purl.obolibrary.org/obo/PCL_0110261	CS20230722_SUBC_201	201 PAG-RN Nkx2-2 Otx1 Gaba														
http://purl.obolibrary.org/obo/PCL_0110262	CS20230722_SUBC_202	202 PRT Tcf7l2 Gaba														
http://purl.obolibrary.org/obo/PCL_0110263	CS20230722_SUBC_203	203 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba														
http://purl.obolibrary.org/obo/PCL_0110264	CS20230722_SUBC_204	204 SC Otx2 Gcnt4 Gaba														
http://purl.obolibrary.org/obo/PCL_0110265	CS20230722_SUBC_205	205 SC-PAG Lef1 Emx2 Gaba														
http://purl.obolibrary.org/obo/PCL_0110266	CS20230722_SUBC_206	206 SCm-PAG Cdh23 Gaba														
http://purl.obolibrary.org/obo/PCL_0110267	CS20230722_SUBC_207	207 SCs Dmbx1 Gaba														
http://purl.obolibrary.org/obo/PCL_0110268	CS20230722_SUBC_208	208 SC Lef1 Otx2 Gaba														
http://purl.obolibrary.org/obo/PCL_0110269	CS20230722_SUBC_209	209 SCs Pax7 Nfia Gaba														
http://purl.obolibrary.org/obo/PCL_0110270	CS20230722_SUBC_210	210 PRT Mecom Gaba														
